symbol,data_days,avg_volume_usd,sharpe_gross,sharpe_net,return_gross,return_net,win_gross,win_net,dd_gross,dd_net,n_trades,turnover_pct,total_cost
GTC,1716,5152690.899130913,0.8851302959939551,0.7906735934586829,5.744779445725367,5.132379445725375,50.291375291375296,50.05827505827506,-1.8693499054722547,-1.8845499054722548,766,44.63869463869464,0.6124
FIDA,520,6900201.9184227325,0.8986598613584269,0.78648490330221,1.4437615948897717,1.2633615948897734,52.69230769230769,52.307692307692314,-2.155210846626464,-2.240810846626464,226,43.46153846153846,0.1804
WAL,134,46481166.24208656,0.8708893323977026,0.7686619615278155,0.3308887927231443,0.2920887927231435,52.98507462686567,52.98507462686567,-0.8732830255961057,-0.8876830255961061,49,36.56716417910448,0.0388
COOKIE,407,5204880.32150354,0.8499282586272663,0.7599787513523505,1.4005589477943592,1.2521589477943613,48.894348894348894,48.402948402948404,-1.6283438048606618,-1.6395438048606619,186,45.7002457002457,0.1484
XVG,962,7099459.89164504,0.8415663240360209,0.7485840479888328,3.079438624823415,2.7382386248234187,52.18295218295218,51.975051975051976,-1.7535371550182977,-1.8295371550182984,427,44.38669438669439,0.34120000000000006
HFT,1052,3305676.202474484,0.8527011875331251,0.7399369484756272,2.8515448778995336,2.475144877899532,51.04562737642585,50.57034220532319,-1.5656712827351182,-1.6659849884980358,471,44.77186311787072,0.37640000000000007
SPK,249,12990384.685944729,0.7934977650329904,0.738829383831932,1.0449746094521566,0.9733746094521556,55.82329317269076,55.42168674698795,-1.3293601504888937,-1.3351902405514728,90,36.144578313253014,0.0716
UNI,1878,43993971.522072695,0.8404069763291585,0.7367907495811539,4.882334195125102,4.281134195125121,51.6506922257721,51.33120340788072,-0.9470182038315746,-0.9638182038315755,752,40.04259850905218,0.6012000000000001
ARPA,1586,6637213.814695367,0.8469529398542092,0.7333851297412884,4.135136553254455,3.5811365532544643,52.33291298865069,52.143757881462804,-1.9520423319680935,-2.0568423319680944,693,43.69482976040353,0.554
AUCTION,799,9161575.981102584,0.8176565669154785,0.7253063684486164,2.2772535912794494,2.020053591279459,49.3116395494368,48.93617021276596,-1.0127494011714586,-1.0496206660971743,322,40.30037546933667,0.25720000000000004
TST,377,14408246.010690289,0.7950553109311767,0.7127226879273197,1.1585047854331023,1.0389047854331048,49.86737400530504,49.86737400530504,-0.8783658438692754,-0.9159658438692724,150,39.787798408488065,0.1196
NEIRO,523,71189669.07430325,0.7780763969593071,0.6998832225437378,1.8048027347637576,1.623602734763759,52.77246653919694,52.77246653919694,-2.150896007147304,-2.193296007147305,227,43.40344168260038,0.18120000000000003
LUMIA,430,2962505.9029454575,0.8017334347876104,0.6856562246518525,1.1616779130631105,0.9932779130631102,50.46511627906977,50.23255813953489,-0.8865196843427926,-0.8993196843427926,211,49.06976744186046,0.16840000000000005
SCRT,457,3038020.3327036733,0.7995621378467294,0.6774884296594444,1.0518700978642714,0.8914700978642702,50.10940919037199,49.89059080962801,-0.923820603003972,-0.9534206030039725,201,43.98249452954048,0.16040000000000004
